日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1999/1/1,台西,AMB_TEMP,17.19,17.01,16.9,16.79,16.59,16.59,16.7,17.12,18.21,19.07,19.61,20.04,20.49,20.63,20.3,19.63,18.84,18.25,18.02,18.1,17.9,17.64,17.22,16.88
1999/1/1,台西,CO,0.32,0.34,0.38,0.37,0.4,0.4,0.42,0.43,0.41,0.4,0.38,0.37,0.37,0.45,0.38,0.38,0.36,0.41,0.39,0.41,0.43,0.48,0.5,0.48
1999/1/1,台西,NO,0.09,0.04,0.07,.02#,0.22,0.06,0.14,0.62,1.19,1.47,1.34,1.15,0.66,0.5,0.54,0.69,0.51,0.39,0.27,0.57,0.5,0.36,0.28,0.3
1999/1/1,台西,NO2,10.05,18.71,10.94,8.71#,10.11,7.1,5.84,7.6,7.22,6.76,5.88,5.02,4.53,5.29,5.08,4.47,4.32,4.82,4.29,5.76,8.39,9.24,11.47,11.62
1999/1/1,台西,NOx,10.13,18.75,11,8.73#,10.32,7.16,5.98,8.22,8.41,8.23,7.21,6.17,5.19,5.79,5.62,5.16,4.82,5.21,4.56,6.33,8.89,9.6,11.75,11.92
1999/1/1,台西,O3,31.6,22.8,28.5,30.5,29.6,32.6,34.1,32.1,35.8,39.2,43.5,47.5,53.4,57.4,52.1,48.2,46.1,45.3,43.3,39.6,33.9,31.2,27.5,26.8
1999/1/1,台西,PM10,33,12,19,12,28,26,29,27,60,50,66,64,55,34,104,65,57,32,47,48,53,28,77,73
1999/1/1,台西,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1999/1/1,台西,SO2,2.4,5.2,2.6,2.1,2,1.6,1.4,1.7,1.6,2,2,1.5,1.4,1.5,1.1,1,0.6,0.7,0.6,0.9,1.3,1.3,1.4,1.6
1999/1/1,台西,WIND_DIREC,24,26,25,23,24,23,22,22,23,22,20,20,18,16,16,13,15,17,16,19,21,24,25,21
1999/1/1,台西,WIND_SPEED,4.29,4,3.62,3.8,3.43,3.37,3.32,3.27,3.69,4.52,4.94,5.25,4.92,4.65,4.83,5.16,5.05,4.71,4.58,3.97,3.53,2.77,2.63,2.72
1999/1/2,台西,AMB_TEMP,16.86,16.79,16.71,16.4,16.28,16.29,16.51,16.88,18.11,19.01,19.1,19.71,20.21,20.5,20.1,18.83,18.15,17.72,17.52,17.19,16.83,16.37,16.1,15.83
1999/1/2,台西,CO,0.47,0.37,0.35,0.37,0.46,0.41,0.44,0.49,0.48,0.43,0.44,0.39,0.62,0.42,0.39,0.45,0.42,0.43,0.44,0.46,0.51,0.54,0.54,0.52
1999/1/2,台西,NO,0.1,0.05,0.03,2.6#,0.21,0.19,0.44,1.44,1.36,1.82,0.94,0.86,1.03,1.74,1.86,1.11,0.7,0.38,0.63,0.48,0.41,1.35,0.75,0.25
1999/1/2,台西,NO2,10.77,13.48,11.88,19.83#,19.38,15.63,15.8,14.64,8.28,7.5,4.93,4.31,7.73,9.74,11.68,12.01,12.69,7.61,5.36,4.75,8.89,33.96,26.92,20.18
1999/1/2,台西,NOx,10.87,13.53,11.91,22.43#,19.58,15.82,16.25,16.09,9.65,9.33,5.87,5.17,8.76,11.48,13.54,13.12,13.39,7.99,5.98,5.23,9.3,35.31,27.67,20.44
1999/1/2,台西,O3,28,25,27,23.1,19.5,23.7,23.8,27.3,36.7,38.5,43.5,47.4,53.7,50.6,49.7,47.4,43.2,43.3,43.1,42.3,35.2,9.8,14,17.4
1999/1/2,台西,PM10,28,51,42,38,59,39,49,82,91,62,67,68,71,114,93,77,89,75,84,77,97,95,113,94
1999/1/2,台西,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1999/1/2,台西,SO2,2.3,3.2,2.4,2.7,3.1,2.3,3.4,2.9,1.6,1.9,1.2,1.1,2.1,4.1,7.5,7.5,7.6,2.9,0.8,0.8,2.1,11.5,9.2,5.1
1999/1/2,台西,WIND_DIREC,24,24,26,27,25,25,23,19,18,17,17,18,17,14,11,13,13,15,18,21,24,26,19,27
1999/1/2,台西,WIND_SPEED,2.46,2.52,2.68,2.36,2.48,2.72,3.01,2.93,3.55,4.45,4.56,4.56,4.36,3.72,4.06,4.6,4.63,4.7,4.32,3.88,3.27,2.54,2.8,1.84
1999/1/3,台西,AMB_TEMP,15.61,15.42,15.55,15.57,15.58,15.79,15.88,16.26,17.08,18.32,18.31,18.09,17.98,17.99,18.01,18,17.78,17.61,17.39,17.15,16.94,16.75,16.65,16.82
1999/1/3,台西,CO,0.52,0.48,0.48,0.5,0.55,0.56,0.76,0.59,0.67,0.62,0.63,0.54,0.54,0.56,0.57,0.6,0.59,0.61,0.62,0.69,0.66,0.58,0.56,0.58
1999/1/3,台西,NO,0.16,0.13,0.07,.23#,0.35,0.26,0.46,2.07,3.74,3.08,2.04,2,0.76,0.48,0.34,0.36,0.3,0.21,0.28,0.4,0.3,0.19,0.2,0.2
1999/1/3,台西,NO2,16.54,21.72,22.26,10.22#,11.09,15.2,18.34,19.51,17.96,13.51,12.45,10.75,6.01,5.56,5.26,6.15,8.91,10.43,10.36,10.51,8.51,6.85,7.15,7.19
1999/1/3,台西,NOx,16.7,21.85,22.32,10.45#,11.44,15.46,18.79,21.58,21.7,16.59,14.5,12.75,6.77,6.04,5.6,6.51,9.2,10.63,10.64,10.91,8.81,7.04,7.35,7.39
1999/1/3,台西,O3,18.8,13.1,13.1,21.6,22.5,19.1,18.8,15.9,22.6,33.2,35.4,38.3,47.6,50.5,52.4,52.6,54.9,53.8,48.9,43.8,41.8,39.6,37.4,36.5
1999/1/3,台西,PM10,83,54,88,73,91,84,90,120,130,112,89,80,78,55,85,101,112,76,109,133,154,152,108,90
1999/1/3,台西,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1999/1/3,台西,SO2,3.8,4.7,4.9,2.5,1.7,3.7,4.8,6.1,5.9,11.7,9.8,8.7,3.6,2.3,2,2.1,3.2,3.4,3.2,3.1,2.8,2,1.8,2
1999/1/3,台西,WIND_DIREC,27,27,25,25,22,22,22,22,20,16,15,13,13,15,15,19,19,18,20,21,21,22,21,20
1999/1/3,台西,WIND_SPEED,1.88,1.82,1.81,1.83,2.09,2.04,1.94,1.95,2.18,3.65,3.91,4.17,4.1,4.25,4.43,3.88,3.65,3.73,4.02,4.2,4.26,3.68,3.43,4.22
1999/1/4,台西,AMB_TEMP,16.55,16.51,16.65,16.78,16.73,16.58,16.31,16.4,16.72,17.98,18.92,19.57,19.75,19.7,19.51,19.02,18.38,17.79,17.58,17.27,17.13,16.94,16.76,16.68
1999/1/4,台西,CO,0.58,0.52,0.5,0.48,0.49,0.49,0.48,0.51,0.45,0.47,0.48,0.49,0.43,0.42,0.43,0.39,0.38,0.39,0.4,0.44,0.46,0.48,0.43,0.39
1999/1/4,台西,NO,0.1,0.05,0.04,.02#,0.28,0.05,0.28,0.82,3.1,3.15,1.69,2.22,1.15,0.59,0.62,0.37,0.4,0.31,0.24,0.25,0.23,0.34,0.24,0.09
1999/1/4,台西,NO2,11.14,10.7,8.83,4.54#,5.58,8.54,10.68,12.29,19.01,16.44,10.21,12.45,9.53,7.11,6.84,5.86,6.32,6.84,6.38,8.54,9.27,9.98,11.22,10.64
1999/1/4,台西,NOx,11.24,10.75,8.87,4.57#,5.86,8.6,10.96,13.1,22.11,19.58,11.9,14.66,10.68,7.7,7.46,6.22,6.71,7.16,6.62,8.79,9.5,10.32,11.46,10.73
1999/1/4,台西,O3,30.1,30.4,35.1,39.9,40.5,39.3,36.8,39.5,37,41.1,54.2,58,65,67.9,67.4,63.4,58,53.1,49.2,43.9,42,40,36.4,35.2
1999/1/4,台西,PM10,94,64,86,77,71,67,66,101,77,90,124,145,118,74,117,98,101,81,80,76,104,100,74,78
1999/1/4,台西,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1999/1/4,台西,SO2,2.7,2.8,2.3,1.4,1.4,3.2,3.7,3.7,6.9,7.3,4.3,5.6,4.8,3.4,2.8,2.2,1.9,1.4,1.4,1.4,1.5,1.3,1.9,1.9
1999/1/4,台西,WIND_DIREC,24,24,23,23,24,23,23,21,22,21,21,19,18,16,17,17,17,16,19,21,22,22,23,24
1999/1/4,台西,WIND_SPEED,3.54,3.79,4.25,4.03,3.98,4.29,4.3,4.86,5.21,5.66,6.56,6.53,5.87,6.03,5.86,6.13,5.75,5.61,5.65,5.15,4.81,4.37,4.2,3.84
1999/1/5,台西,AMB_TEMP,16.56,16.42,16.43,16.58,16.61,16.73,16.67,16.95,17.78,,19.37#,19.57,19.93,20.07,19.73,19.29,18.59,18.12,18.08,18.21,18.3,18.05,17.57,16.89
1999/1/5,台西,CO,0.36,0.23,0.23,0.19,0.19,0.19,0.2,0.38,0.23,,.23#,0.3,0.25,0.27,0.32,0.32,0.37,0.39,0.36,0.31,0.27,0.23,0.24,0.32
1999/1/5,台西,NO,0.06,0.04,0.06,.09#,0.13,0.05,0.17,0.45,0.69,,137.81#,12.95x,1.31,1.2,1.43,0.83,0.7,0.63,0.52,0.29,0.27,0.3,0.23,0.36
1999/1/5,台西,NO2,12.82,15.79,17.34,4.05#,5.06,3,3.18,5.24,5.09,,4.31#,4.76x,5.17,5.23,5.14,4.81,5.39,6.3,6.1,4.93,4.03,4.79,15.4,18.45
1999/1/5,台西,NOx,12.88,15.84,17.4,4.14#,5.19,3.05,3.35,5.69,5.78,,142.12#,17.71x,6.48,6.43,6.57,5.64,6.08,6.93,6.62,5.22,4.3,5.08,15.63,18.81
1999/1/5,台西,O3,31.8,28.5,29.7,43.5,44.1,46.9,47,46.1,46.4,,412.3#,71.5,56.5,58.8,59.5,60.2,58.4,56.3,54.3,54.1,52.8,47.7,26.9,18.3
1999/1/5,台西,PM10,55,76,71,50,46,42,24,53,52,,1#,1x,7*,60,96,100,98,75,75,102,93,71,59,55
1999/1/5,台西,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1999/1/5,台西,SO2,3,4.5,4.7,1.4,1.6,0.5,0.4,0.7,0.8,,3.2#,1.5,2.1,1.9,1.4,1.3,1.3,1.5,1.4,1.1,1.1,1.3,3.6,2.3
1999/1/5,台西,WIND_DIREC,24,23,24,24,23,23,23,23,21,,22#,18,19,17,17,16,17,19,19,17,18,24,25,21
1999/1/5,台西,WIND_SPEED,3.83,4.08,4.41,4.82,5.15,5.15,4.79,4.89,5.78,,6.27#,6.68,6.58,6.23,6.52,6.73,6.69,6.12,5.29,4.96,5.04,3.81,2.05,1.83
1999/1/6,台西,AMB_TEMP,16.69,16.28,15.9,15.28,15.41,15.72,16.05,16.93,18.29,19.08,19.61,20.21,20.45,19.91,19.72,19.39,18.86,18.32,18.2,18.28,18.24,17.91,17.71,17.54
1999/1/6,台西,CO,0.36,0.44,0.45,0.48,0.55,0.55,0.52,0.44,0.39,0.35,0.35,0.36,0.35,0.33,0.32,0.32,0.31,0.17,0.15,0.13,0.13,0.12,0.12,0.16
1999/1/6,台西,NO,0.4,1.25,4,5.34#,2.96,9.8,4.49,2.25,2.73,0.93,1.09,2.45,1.66,1.41,0.96,0.59,0.59,0.24,0.16,0.08,0.09,0.12,0.08,0.03
1999/1/6,台西,NO2,26.08,32.49,35.22,32.31#,33.95,35.37,29.17,15.97,13.8,6.15,5.5,12.85,9.24,7.98,5.71,5.13,5.51,5.14,4.61,4.02,3.98,9.55,9.76,11.45
1999/1/6,台西,NOx,26.48,33.74,39.22,37.65#,36.91,45.17,33.66,18.22,16.53,7.08,6.59,15.3,10.9,9.38,6.67,5.72,6.11,5.38,4.77,4.09,4.07,9.66,9.84,11.48
1999/1/6,台西,O3,10.1,4.2,2.6,2.5,4,4.1,10.9,23.7,33.5,45.7,47.5,47,49.8,51.6,53.8,55.9,54.6,52.4,51.6,51.2,50.8,41.9,40.4,37.2
1999/1/6,台西,PM10,107,67,64,64,79,76,85,67,71,50,75,60,102,73,123,119,77,65,72,48,73,36,56,51
