日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1999/1/1,朴子,AMB_TEMP,15.13,14.86,14.69,14.51,14.33,14.23,14.25,15.16,17.46,19.19,20.62,21.99,23.16,23.51,22.93,21.71,19.85,17.85,17.1,16.68,16.4,16.05,15.47,15.12
1999/1/1,朴子,CO,0.36,0.39,0.43,0.45,0.49,0.48,0.48,0.47,0.45,0.46,0.46,0.48,0.48,0.46,0.43,0.4,0.4,0.38,0.39,0.42,0.44,0.49,0.5,0.51
1999/1/1,朴子,NO,0.09,0.01,0,.11#,0.09,0.26,0.46,5.5,8,9.55,7.19,1.9,3.46,4.06,1.35,0.68,0.32,0.07,0.04,0.09,0.47,0.34,0.2,0.28
1999/1/1,朴子,NO2,18.02,14.98,15.65,16.12#,16.15,15.65,16.83,22.38,21.63,20.69,18.89,12.43,19.06,20.05,14.92,11.47,11.8,9.6,9.97,16.45,21.17,24.11,19.95,22.33
1999/1/1,朴子,NOx,18.11,14.99,15.65,16.23#,16.24,15.9,17.29,27.88,29.63,30.25,26.08,14.33,22.53,24.11,16.28,12.15,12.11,9.66,10.01,16.55,21.64,24.44,20.15,22.61
1999/1/1,朴子,O3,14.8,16.4,14.8,13.4,11.6,11.4,10.7#,9,13.9,19.4,26.4,43.2,43.2,41.1,49.6,46.5,41.1,36.6,33.1,23.4,16.7,12.5,13.6,10.4
1999/1/1,朴子,PM10,19,11,11,19,23,50,47,40,43,25,29,34,44,58,78,91,89,88,74,62,68,47,47,37
1999/1/1,朴子,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1999/1/1,朴子,SO2,2.3,1.8,1.7,1.7,1.6,1.5,1.4,2.6,9.1,13.7,11.7,4.4,10.2,13,7.2,3.1,2.5,1.1,1.3,4.1,4.7,6.1,3.1,2.9
1999/1/1,朴子,WIND_DIREC,26,25,27,26,24,26,24,25,27,28,30,27,18,7,15,10,6,21,25,25,20,19,26,24
1999/1/1,朴子,WIND_SPEED,3.42,2.82,2.9,2.64,2.19,2.15,2.13,2.58,4.1,4.97,4.85,4.4,3.68,3.69,4.31,4.04,3.54,4.38,3.29,2.66,2.64,2.68,2.28,2.08
1999/1/2,朴子,AMB_TEMP,14.73,14.38,14.14,13.8,13.6,13.69,14.11,14.96,17.59,19.62,21.04,21.85,22.87,24.01,23.99,21.08,18.47,17.39,16.9,16.17,15.58,15.04,14.6,14.32
1999/1/2,朴子,CO,0.53,0.45,0.46,0.5,0.52,0.51,0.5,0.54,0.46,0.42,0.44,0.46,0.44,0.46,0.52,0.47,0.45,0.47,0.47,0.47,0.54,0.58,0.6,0.59
1999/1/2,朴子,NO,0.13,0.08,0.05,.72#,0.61,0.8,0.85,7.51,4.37,3.25,4.08,3.81,3.88,3.29,2.44,1.19,0.57,0.63,0.51,1.07,1.89,1.17,0.89,0.76
1999/1/2,朴子,NO2,20.71,20.17,18.95,17.07#,17.66,19.81,16.72,21.9,16.32,11.61,13.4,12.99,13.69,14.49,15.05,10.3,8.4,8.98,10.62,30.09,33.34,25.88,19.98,15.99
1999/1/2,朴子,NOx,20.84,20.25,19,17.79#,18.27,20.6,17.57,29.41,20.69,14.86,17.48,16.8,17.58,17.78,17.49,11.49,8.97,9.61,11.12,31.16,35.22,27.05,20.87,16.74
1999/1/2,朴子,O3,10.6,10,10,9.5,8.7,7.6,13.9#,12.5,22.2,31.6,35.3,36,39.5,45.3,50,48.9,45.8,39.7,34.3,12.7,7.5,11.2,14.6,16.9
1999/1/2,朴子,PM10,38,38,38,40,41,48,55,58,56,55,65,67,79,79,87,94,92,88,83,87,86,77,81,82
1999/1/2,朴子,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1999/1/2,朴子,SO2,2.6,2.4,2.1,2,2.5,2.6,2.2,2.7,3.1,3,4.2,4.9,5.9,5.2,3.9,2.3,1.3,0.8,2.2,13.8,13.4,6.9,3.4,2
1999/1/2,朴子,WIND_DIREC,20,23,22,23,23,28,19,20,25,24,26,15,19,30,8,359,5,18,24,26,18,21,24,24
1999/1/2,朴子,WIND_SPEED,1.91,1.78,1.86,1.98,2.48,2.77,2.94,2.39,3.86,5.86,5.63,4.7,4.52,3.55,3.29,4.45,4.87,5,4.85,4.18,3.55,2.67,2.31,2.26
1999/1/3,朴子,AMB_TEMP,14.04,13.92,13.99,13.8,13.84,13.96,13.97,14.81,16.49,18.19,19.38,18.87,18.67,18.6,18.08,17.82,17.55,16.98,16.66,16.41,16.13,15.81,15.59,15.39
1999/1/3,朴子,CO,0.56,0.56,0.57,0.57,0.62,0.62,0.65,0.72,0.64,0.64,0.67,0.67,0.6,0.6,0.62,0.65,0.72,0.72,0.7,0.73,0.77,0.78,0.71,0.67
1999/1/3,朴子,NO,0.62,0.59,0.63,.07#,0.39,0.58,3.07,8,4.26,2.68,1.56,0.77,0.52,0.52,0.3,0.2,0.28,0.42,0.04,0.04,0.17,0.2,0.16,0.16
1999/1/3,朴子,NO2,15.94,17.45,17.06,16.62#,19,20.68,23.64,23.85,17.96,14.16,12.12,9.2,7.77,8.61,9.15,10.51,16.9,30.69,19.6,20.09,26.72,29.37,24.03,28.09
1999/1/3,朴子,NOx,16.56,18.04,17.69,16.69#,19.39,21.26,26.71,31.85,22.22,16.84,13.67,9.97,8.28,9.13,9.44,10.72,17.18,31.1,19.64,20.13,26.89,29.57,24.19,28.25
1999/1/3,朴子,O3,14.7,11.6,11.5,10.1,7.2,6.6,4.4#,7.7,13.8,25.4,33,36.1,40.1,42.3,42.7,42,34.7,21.9,33,28.4,18.5,13.9,15.4,10.8
1999/1/3,朴子,PM10,80,69,71,73,68,74,81,86,102,94,101,98,92,82,82,85,83,94,117,118,118,114,126,111
1999/1/3,朴子,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1999/1/3,朴子,SO2,1.6,1.7,1.9,1.7,1.9,2.2,2.3,3,2.8,3.7,3.3,2.3,2.1,2.2,1.8,1.8,3.6,6.6,3.4,3.5,5.4,7.4,6.5,8.6
1999/1/3,朴子,WIND_DIREC,23,19,20,24,3,19,24,25,25,26,18,15,12,17,16,14,20,20,17,19,19,25,19,25
1999/1/3,朴子,WIND_SPEED,1.86,2.09,1.79,1.69,1.13,1.6,1.74,1.73,2.68,4.29,3.9,4,4.5,4.11,3.85,3.29,2.6,2.51,2.44,2.58,2.62,2.86,3.15,3
1999/1/4,朴子,AMB_TEMP,15.11,14.84,14.78,15.02,15.18,15.12,14.92,15.25,15.93,17.22,20.07,21.62,22.69,21.67,21.94,20.98,19.25,17.39,16.5,16.04,15.66,15.41,14.97,14.46
1999/1/4,朴子,CO,0.66,0.66,0.67,0.61,0.58,0.57,0.61,0.66,0.61,0.6,0.58,0.6,0.63,0.57,0.5,0.44,0.43,0.45,0.47,0.47,0.51,0.53,0.54,0.5
1999/1/4,朴子,NO,0.03,0.04,0,.05#,0.01,0.01,0.33,1.75,2.59,2.01,2.16,2.89,1.69,1.29,0.98,0.53,0.34,0.11,0.1,0.21,0.45,0.3,0.75,0.43
1999/1/4,朴子,NO2,22.45,19.37,16.7,15.96#,12.87,11.85,14.7,19.17,17.6,15.07,13.61,18.34,19.05,20.26,16.37,14.27,14.34,15.58,17.06,27.78,35.1,33.68,38.14,33.71
1999/1/4,朴子,NOx,22.48,19.41,16.7,16.01#,12.88,11.86,15.02,20.92,20.19,17.08,15.78,21.23,20.73,21.55,17.35,14.8,14.68,15.69,17.16,27.98,35.54,33.98,38.89,34.14
1999/1/4,朴子,O3,13.1,14.1,15.7,18.3,22,23.6,19.8#,19.3,26.2,34.4,41.5,47.8,57.3,56.9,59,55.9,48.4,40.7,35.2,18.5,11.1,11.6,7.1,8.8
1999/1/4,朴子,PM10,96,81,70,70,69,62,58,60,64,61,78,79,91,105,128,155,155,133,108,95,84,72,72,76
1999/1/4,朴子,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
1999/1/4,朴子,SO2,5.9,4.1,3.3,3.2,3.4,2.6,2.5,3.7,3.5,3.4,3.5,6.7,6.2,7.2,6.4,5.6,3.9,3.3,3.9,9.1,8.3,8.2,9,6.7
1999/1/4,朴子,WIND_DIREC,27,22,29,27,27,28,24,24,25,27,22,27,28,7,359,13,16,19,25,26,16,24,24,24
