¤é´Á,´ú¯¸,´ú¶µ,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2000/1/1,¦Á¤î,AMB_TEMP,15.96,16.22,16.21,16.01,16.37,16.24,16.03,16.52,18.4,18.97,19.31,20.37,21.76,22.09,21.28,20.91,20.55,18.89,17.63,16.97,15.44,14.85,14.64,13.92
2000/1/1,¦Á¤î,CO,1.77,1.32,1.52,1.65,1.68,1.75,1.96,1.43,1.24,1.33,1.33,1.09,0.79,0.81,0.76,0.79,0.5,1.6,1.41,1.1,0.68,0.77,1.06,1.15
2000/1/1,¦Á¤î,NO,137.84,62.6,62.82,92.75#,87.64,109.03,143.86,73.95,71.55,54.2,47.05,19,11.24,12.34,10.08,11.41,3.25,43.26,42.64,39.24,25.89,28.15,71.62,79.58
2000/1/1,¦Á¤î,NO2,32.77,33.74,34.09,30.77#,30.03,28.95,26.85,28.29,36.04,42.87,46.71,46.79,34.77,38.15,36.1,42.14,29.43,51.35,42.99,37.17,27.55,25.4,25.01,22.26
2000/1/1,¦Á¤î,NOx,170.61,96.35,96.91,123.52#,117.67,137.98,170.71,102.24,107.59,97.07,93.76,65.79,46.01,50.49,46.18,53.55,32.68,94.61,85.63,76.41,53.43,53.55,96.64,101.85
2000/1/1,¦Á¤î,O3,3.4,3.1,3.2,3.3,3,3.2,2.9#,3,4.2,4.4,6.8,19.9,31.7,34.1,33.6,29.6,28.5,5.3,3.7,3.4,3.3,2.8,2.6,2.9
2000/1/1,¦Á¤î,PM10,74*,74*,74*,74*,74*,74*,74*,74x,74x,74x,42x,3*,85,53,53,29,38,36,48,46,36,36,56,55
2000/1/1,¦Á¤î,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2000/1/1,¦Á¤î,SO2,4,5,3.4,2.6,2.8,2.8,2.4,3.1,8.6,8.2,7.1,4.2,2.9,3.3,2.4,2.1,1,1.6,1.9,1.9,1.7,1.3,1.3,0.9
2000/1/1,¦Á¤î,WIND_DIREC,55,888,108,888,333,358,4,888,888,204,203,197,888,206,202,198,888,171,64,52,288,227,34,281
2000/1/1,¦Á¤î,WIND_SPEED,0.31,0.22,0.16,0.17,0.1,0.16,.01*,0.23,0.57,0.72,0.88,0.66,0.85,0.95,0.93,0.99,0.21,.02*,0.18,0.28,0.12,0.06,0.09,0.08
2000/1/2,¦Á¤î,AMB_TEMP,13.34,12.76,12.49,11.91,11.48,11.12,10.97,11.43,13.98,16.49,19.32,22.02,22.9,22.31,21.59,20.71,19.7,19.21,18.69,18.39,17.77,17.42,17.01,16.71
2000/1/2,¦Á¤î,CO,0.8,0.75,1,0.89,0.88,0.79,0.92,0.78,1.17,1.5,1.44,0.78,0.69,0.61,0.56,0.69,0.94,1.25,1.37,1.41,1.48,1.57,1.67,1.56
2000/1/2,¦Á¤î,NO,38.69,13.63,41.94,41.15#,23.67,22.04,41.73,29.93,59.57,63.66,33.23,6.24,7.25,3.7,2.03,2.06,1.96,6.7,7.35,3.74,6.1,12.46,18.02,17.82
2000/1/2,¦Á¤î,NO2,22.68,24.58,23.35,21.14#,20.92,20.98,20.34,22.13,34.23,54.75,58.63,26.42,29.97,22.13,18.18,24.18,35.26,52.22,53.67,49.1,54.63,57.21,54.76,55.15
2000/1/2,¦Á¤î,NOx,61.36,38.21,65.28,62.29#,44.59,43.02,62.07,52.06,93.8,118.42,91.85,32.66,37.22,25.83,20.22,26.25,37.22,58.93,61.03,52.85,60.73,69.67,72.79,72.97
2000/1/2,¦Á¤î,O3,2.2,2.9,2.6,2.2,2.2,2.2,2.5#,3.4,5.1,7.6,19.4,39.2,37.6,46.5,52.1,49,42.9,23.1,20.6,22.1,15,10.1,8.2,5.1
2000/1/2,¦Á¤î,PM10,57,60,46,49,35,46,46,49,57,58,78,85,75,83,76,85,93,93,98,91,109,108,126,126
2000/1/2,¦Á¤î,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2000/1/2,¦Á¤î,SO2,0.4,0.1,0.2,0.1,0.1,0.5,0.6,0.7,2.4,4.3,5,5,15.5,10.1,3.4,5.1,3.9,5.2,6.5,5.9,4.3,5.4,4.7,7.3
2000/1/2,¦Á¤î,WIND_DIREC,888,294,888,280,284,292,298,304,319,339,888,64,66,58,54,55,59,64,68,55,58,59,70,75
2000/1/2,¦Á¤î,WIND_SPEED,0.06,0.06,0.05,0*,0.07,0.08,0.05,0.02,0.01,0.03,0.25,1.06,1.13,1.66,1.91,1.64,0.92,0.47,0.65,0.41,1,0.66,0.52,0.29
2000/1/3,¦Á¤î,AMB_TEMP,16.36,16.02,16.03,15.72,15.53,15.16,14.86,15.54,17.1,19.18,20.06,20.5,21.24,,,,,,,,,,,
2000/1/3,¦Á¤î,CO,1.37,1.17,1.05,1.01,0.98,1.08,1.62,2.57,2.54,1.4,0.85,0.74,0.67,,,,,,,,,,,
2000/1/3,¦Á¤î,NO,6.52,2.48,0.74,.47#,2.11,17.66,85.74,129.88,126.89,57.4,15.08,10.13,7.65,,,,,,,,,,,
2000/1/3,¦Á¤î,NO2,44.71,37.53,29.99,18.43#,28,36.66,44,50.57,62.53,54.29,36.55,32.39,26.59,,,,,,,,,,,
2000/1/3,¦Á¤î,NOx,51.23,40.01,30.73,18.9#,30.11,54.32,129.73,180.45,189.41,111.69,51.63,42.52,34.24,,,,,,,,,,,
2000/1/3,¦Á¤î,O3,10.4,12.4,17.8,15.5,13,6.1,4#,4.9,4.9,9.8,21.9,25.9,30.7,,,,,,,,,,,
2000/1/3,¦Á¤î,PM10,134,149,149,156,143,152,143,137,147,185,180,153,128,,,,,,,,,,,
2000/1/3,¦Á¤î,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,
2000/1/3,¦Á¤î,SO2,5.9,5,6.5,6.6,4,4.9,7.5,11.1,11.6,9.2,6.3,8.1,7.7,,,,,,,,,,,
2000/1/3,¦Á¤î,WIND_DIREC,85,888,47,888,44,51,54,84,888,69,58,56,51,,,,,,,,,,,
2000/1/3,¦Á¤î,WIND_SPEED,0.54,0.24,0.45,0.33,0.37,0.6,0.57,0.28,0.21,1.15,1.59,1.77,1.84,,,,,,,,,,,
2000/1/4,¦Á¤î,AMB_TEMP,,,,,,,,,,,,,25.38#,25.99,25.41,23.73,22.28,20.45,19.32,18.28,17.75,17.5,17.14,16.66
2000/1/4,¦Á¤î,CO,,,,,,,,,,,,,0#,0.91,0.61,0.72,1.34,1.95,2.12,1.57,1.57,1.44,1.53,1.44
2000/1/4,¦Á¤î,NO,,,,,,,,,,,,,0#,0x,0x,119.35*,129.69,62.08,101.87,97.71,80.71,48.44,53.72,57.45
2000/1/4,¦Á¤î,NO2,,,,,,,,,,,,,0#,0x,0x,4.87x,52.87,52.28,52.15,49.89,45.68,40.66,39.97,37.22
2000/1/4,¦Á¤î,NOx,,,,,,,,,,,,,0#,0x,0x,124.22x,182.56,114.36,154.02,147.61,126.39,89.09,93.69,94.67
2000/1/4,¦Á¤î,O3,,,,,,,,,,,,,0#,0,0,58.2,14.8,6.6,4.4,3.8,3.7,3.4,3.2,3.1
2000/1/4,¦Á¤î,PM10,,,,,,,,,,,,,2#,2x,6x,425*,2x,2x,126,113,114,115,133,129
2000/1/4,¦Á¤î,RAINFALL,,,,,,,,,,,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2000/1/4,¦Á¤î,SO2,,,,,,,,,,,,,0#,2.4,0.4,1.7,2.4,2.8,2.9,2.5,2.8,2.7,3,2.1
2000/1/4,¦Á¤î,WIND_DIREC,,,,,,,,,,,,,242#,187,205,888,191,153,999,56,323,302,296,888
2000/1/4,¦Á¤î,WIND_SPEED,,,,,,,,,,,,,.79#,0.94,0.66,0.3,0.2,0.06,0,0,0.03,0.04,0.05,0.01
2000/1/5,¦Á¤î,AMB_TEMP,16.43,16.34,17.32,17.59,17.28,16.74,16.29,16.1,17.5,20,22.44,25.41,25.59,23.47,23.28,22.28,21.17,19.85,18.52,17.49,16.87,16.59,16.03,15.61
2000/1/5,¦Á¤î,CO,1.53,1.68,1.32,1.32,1.21,1.12,1.43,2.19,2.78,3.42,2.43,1.82,1.18,1.05,0.94,1.2,1.72,2.25,2.06,2.23,1.93,2.12,2.03,1.92
2000/1/5,¦Á¤î,NO,50.22,54.94,28.98,14.04#,23.12,32.16,72.32,129.39,153.72,137.33,32.28,9.41,9.46,19.64,17.31,14,18.28,38.11,67.34,131.7,100.2,107.65,104.69,78
2000/1/5,¦Á¤î,NO2,39.98,39.38,41.96,48.61#,47.8,46.03,45.07,42.92,55.55,108.35,106.14,87.95,64.99,64.83,62.36,73.63,83.97,86.19,78.36,67.79,56.25,55.88,50.11,48.27
2000/1/5,¦Á¤î,NOx,90.21,94.33,70.94,62.66#,70.91,78.19,117.39,172.31,209.27,245.67,138.42,97.36,74.44,84.47,79.67,87.63,102.25,124.31,145.7,199.49,156.45,163.53,154.8,126.28
2000/1/5,¦Á¤î,O3,3.4,3.8,3.3,4,3.8,3.6,3.6#,4.1,5.2,8.7,30.5,58.4,53.3,25.5,27.9,35.8,24.5,8.6,4.1,3.9,2.9,3,2.7,2.4
2000/1/5,¦Á¤î,PM10,125,109,129,106,140,137,151,151,155,151,185,186,153,121,121,105,111,142,147,147,165,137,132,127
2000/1/5,¦Á¤î,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2000/1/5,¦Á¤î,SO2,2.1,1.9,3.1,13.3,16.9,9.6,7.9,7.9,9.8,12.8,8.3,6.1,10,10.4,8.3,9.3,8.3,6.8,5.3,4.8,3.6,3.5,3,2
2000/1/5,¦Á¤î,WIND_DIREC,999,61,199,196,202,200,197,209,888,888,888,888,888,63,888,888,888,888,888,56,888,888,888,888
2000/1/5,¦Á¤î,WIND_SPEED,0,0.09,0.97,0.74,0.97,1.02,0.99,0.51,0.31,0.11,0.1,0.25,0.67,1.02,0.76,0.51,0.05,0.04,0.05,0,0.01,0,0.02,0.07
2000/1/6,¦Á¤î,AMB_TEMP,15.39,15.04,14.72,14.54,14.31,14.22,14.38,15.08,18.07,21.02,22.73,23.8,24.01,23.54,23.38,23.07,21.96,21.04,20.68,20.78,20.71,20.24,19.81,19.09
2000/1/6,¦Á¤î,CO,2,1.52,1.15,1.08,1.07,1.19,1.48,2.08,2.03,1.59,1.09,0.78,0.66,0.61,0.68,0.76,0.8,1.11,1.19,1.13,1.01,1.08,1.07,0.74
2000/1/6,¦Á¤î,NO,118.68,70.9,51.41,42.76#,60.69,87.73,143.73,187.49,148.39,70.63,26.58,9.77,4.2,3.94,5.98,6.03,4.81,9.83,10.5,7.22,2.04,1.55,1.54,0.36
2000/1/6,¦Á¤î,NO2,45.2,37.05,34.35,28.22#,27.91,29.69,35.76,44.64,62.75,68.91,49.47,32.74,21.03,20.34,28.52,30.71,38.48,54,51.32,42.85,31.22,29.23,27.67,12.9
2000/1/6,¦Á¤î,NOx,163.88,107.94,85.76,70.98#,88.6,117.42,179.49,232.14,211.14,139.53,76.06,42.51,25.23,24.28,34.5,36.74,43.29,63.83,61.82,50.07,33.26,30.78,29.21,13.26
2000/1/6,¦Á¤î,O3,2.6,2,1.9,2,2,2.4,3.8#,4.6,5,8.3,20.7,30.5,40,38.9,34.2,30.3,25.2,11.9,11.7,19.3,31.2,31.6,29.3,34.7
2000/1/6,¦Á¤î,PM10,126,111,96,96,94,78,72,94,108,114,140,132,98,65,66,25,41,33,18,64,64,58,82,92
2000/1/6,¦Á¤î,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2000/1/6,¦Á¤î,SO2,2.1,1.1,0.8,2.5,3.2,6.6,8.1,11.4,14.9,9.5,9.1,8.3,3.5,1.9,2.6,1.9,2.9,4.8,5.3,2.5,2.1,1.7,1.1,0.8
2000/1/6,¦Á¤î,WIND_DIREC,999,888,62,65,57,57,52,53,63,888,60,57,50,57,57,61,56,58,57,56,54,55,60,55
2000/1/6,¦Á¤î,WIND_SPEED,0,0.02,0.11,0.01,0.01,0.45,0.64,0.51,0.29,0.19,0.9,1.39,2.15,2.39,2.1,1.83,2.01,1.76,1.28,1.2,2.17,1.97,1.8,2.28
2000/1/7,¦Á¤î,AMB_TEMP,17.76,17.37,16.96,16.86,16.93,16.96,16.92,16.99,17.57,17.65,18.25,17.88,17.63,17.58,17.22,17.06,16.94,17.04,16.93,16.83,17.05,17.1,17.14,17.21
2000/1/7,¦Á¤î,CO,0.6,0.53,0.53,0.53,0.54,0.58,0.7,1.1,1.11,0.99,0.97,1.04,1.01,1.03,1.49,1.03,1.12,1.21,1.2,0.97,1.09,1.31,1.35,1.21
2000/1/7,¦Á¤î,NO,0.07,0.01,0,.07#,0.02,0.4,4.29,12.31,20.08,17.95,19.05,25.57,20.22,25.59,30.97,20.72,20.99,20.66,21.2,14.07,23.3,38.9,33.21,25.82
2000/1/7,¦Á¤î,NO2,6.86,5.28,5.63,7.71#,6.66,9.48,23.15,35.78,39.99,40.96,39.34,44.51,41.9,45.87,47.53,47.55,47.42,45.31,46.56,41.81,45.47,47.33,46.44,43.99
2000/1/7,¦Á¤î,NOx,6.93,5.29,5.63,7.78#,6.68,9.89,27.44,48.09,60.07,58.91,58.39,70.08,62.12,71.46,78.5,68.27,68.41,65.97,67.76,55.88,68.77,86.23,79.64,69.81
2000/1/7,¦Á¤î,O3,34.8,34.5,33.2,33.7,33.9,33.4,20.7#,13.3,11.9,11.4,12.7,9.9,11.8,8.9,8.1,7.5,7.9,7.2,5.7,7,4,3,2.7,3.2
2000/1/7,¦Á¤î,PM10,80,77,50,21,21,11,23,28,21,30,31,47,49,53,64,60,60,42,30,30,46,37,34,41
2000/1/7,¦Á¤î,RAINFALL,0.2,NR,0.4,0.2,NR,NR,0.2,1,NR,NR,NR,0.2,0.2,NR,0.4,0.8,1.4,0.2,0.6,0.2,NR,NR,NR,NR
2000/1/7,¦Á¤î,SO2,0,0,0,0,0,0,0.1,0.8,1.8,2.1,4.4,3.4,2.1,2,2.7,2.7,2,2.4,3.1,3.4,6.8,11.5,10.4,8.7
2000/1/7,¦Á¤î,WIND_DIREC,53,888,38,46,50,57,61,56,59,54,55,80,60,83,125,66,69,62,59,53,65,66,83,99
2000/1/7,¦Á¤î,WIND_SPEED,2.15,1.94,2.23,1.92,1.74,1.38,1.28,1.4,1.57,2.11,1.6,1.03,1.08,0.64,0.52,0.76,0.97,0.91,0.71,1.59,0.99,0.82,0.53,0.35
2000/1/8,¦Á¤î,AMB_TEMP,17.28,17.31,17.33,17.54,17.67,17.83,17.77,17.66,18.3,20.62,22.07,23.66,24.16,24.69,24.61,23.19,21.93,21.32,20.92,20.15,19.43,19.06,18.66,18.82
2000/1/8,¦Á¤î,CO,0.95,0.67,0.54,0.59,0.57,0.69,0.9,1.45,1.71,1.54,0.81,0.7,0.6,0.56,0.67,0.58,0.69,0.74,1.22,1.69,1.48,1.69,1.16,2.44
2000/1/8,¦Á¤î,NO,11.19,2.94,0.4,1.74#,1.29,8.25,19.51,43.86,64.16,58.12,15.22,9.47,5.44,5.68,7.2,5.35,8.08,6.97,25.31,78.92,62.99,80.37,48.24,112.21
2000/1/8,¦Á¤î,NO2,39.48,32.77,20.72,18.29#,22.97,32.31,35.42,35.84,41.18,46.07,32.25,24.12,19.35,19.16,24.5,27.14,35.59,35.74,39.93,36.05,29.26,25.69,21.36,31.98
2000/1/8,¦Á¤î,NOx,50.67,35.71,21.11,20.03#,24.26,40.56,54.92,79.7,105.35,104.19,47.46,33.58,24.79,24.83,31.7,32.49,43.67,42.71,65.23,114.97,92.25,106.06,69.6,144.19
2000/1/8,¦Á¤î,O3,5.2,9.5,15.8,12.5,15,7.8,4.7#,4.4,4.3,9,17.8,25.8,31.2,32,30.1,25.6,14.1,10.5,5.8,2.8,2.4,2.5,1.9,3.3
