日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2000/1/1,朴子,AMB_TEMP,17.26,17.12,16.9,17.1,17.34,17.38,17.61,17.88,18.68,20.13,21.94,23.9,25.53,26.57,26.18,25.32,23.32,20.5,18.91,17.85,17.31,16.93,16.68,16.24
2000/1/1,朴子,CO,0.37,0.26,0.21,0.21,0.25,0.26,0.28,0.32,0.37,0.55,0.36,0.29,0.28,0.2,0.16,0.19,0.24,0.32,0.37,0.25,0.21,0.21,0.24,0.23
2000/1/1,朴子,NO,0.97,0.34,0.04,.02#,0,0,0.1,2.86,4.56,9.91,6.14,3.43,2.5,1.42,0.88,0.57,2.17,3.89,0.07,0.01,0,0,0.07,0.12
2000/1/1,朴子,NO2,23.73,18.76,14.47,6.99#,8.05,11.1,17.83,17.83,22.75,25.31,17.7,17.41,16.44,9.95,7.89,9.31,16.77,21.99,18.65,12.33,11.29,12.41,15.48,16.45
2000/1/1,朴子,NOx,24.69,19.11,14.51,7.01#,8.06,11.1,17.94,20.68,27.32,35.22,23.84,20.83,18.94,11.37,8.77,9.88,18.94,25.88,18.72,12.34,11.29,12.41,15.55,16.57
2000/1/1,朴子,O3,10.9,11,16.9,29.6,32.4,27.3,19.3#,22.3,24.2,32.8,37.8,42.5,49.6,53.3,48.6,49.7,45,36.5,33.3,36.6,33.9,27,21.4,16.6
2000/1/1,朴子,PM10,62*,62*,62*,62*,62*,62*,62*,62x,62x,62x,62x,62x,62x,62x,55x,2x,2x,57,66,91,83,78,66,56
2000/1/1,朴子,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2000/1/1,朴子,SO2,0.9,0.9,0.1,0,0,0.1,0.2,0.4,0.9,2.1,1.6,2.1,2.7,1.8,1.7,1.5,2.2,1.6,1.2,0.6,0.4,0.5,0.6,0.8
2000/1/1,朴子,WIND_DIREC,4,348,2,17,25,24,29,24,27,19,15,17,12,357,15,14,5,12,3,16,20,16,4,34
2000/1/1,朴子,WIND_SPEED,0.58,0.56,0.93,1.88,2.4,2.8,3.24,3.02,3.43,2.97,3.4,3.7,3.29,3.07,3.8,3.18,2.57,1.81,1.43,1.86,2.04,1.75,1.15,1.31
2000/1/2,朴子,AMB_TEMP,15.73,15.35,15.1,15.07,15.37,15.41,15.09,16.18,18.54,20.94,23.19,24.82,25.21,25.6,25.21,23.95,21.35,19.29,18.32,17.84,17.57,17.34,16.36,15.95
2000/1/2,朴子,CO,0.24,0.35,0.42,0.37,0.35,0.32,0.22,0.29,0.29,0.25,0.28,0.28,0.28,0.33,0.4,0.42,0.37,0.39,0.39,0.48,0.53,0.63,0.55,0.58
2000/1/2,朴子,NO,0.41,1.34,2.43,.34#,0.48,0.62,1.06,7.12,25.98,9.27,6.88,2.24,2,1.82,1.78,1.82,0.71,0.37,0.35,0.48,0.85,1.41,0.68,1.1
2000/1/2,朴子,NO2,20.31,26.2,29.35,16.05#,18.94,17.82,15.11,24.43,23.38,17.76,15.98,10.89,10.73,12.32,14.46,17.58,14.05,15.37,17.2,19.16,21.25,25.82,21.27,20.28
2000/1/2,朴子,NOx,20.72,27.54,31.78,16.39#,19.42,18.44,16.17,31.55,49.37,27.03,22.85,13.13,12.73,14.14,16.24,19.4,14.76,15.75,17.55,19.64,22.1,27.23,21.95,21.38
2000/1/2,朴子,O3,9.5,3.9,2.1,7.6,10.3,13.5,16.3#,10.1,16.9,29.5,39.2,48.3,51.3,58.6,68.9,72.7,58,47.8,41.4,34.5,31.6,23.4,18.8,15.9
2000/1/2,朴子,PM10,51,66,74,88,88,85,69,49,34,44,55,69,93,103,97,102,93,90,90,90,90,99,97,108
2000/1/2,朴子,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2000/1/2,朴子,SO2,0.8,0.8,0.7,0.7,0.7,1,0.8,1.8,3,3.5,3.3,2.7,2.5,2.7,2.9,3.3,2.7,1.7,1.4,1.2,1.4,1.3,0.7,1.8
2000/1/2,朴子,WIND_DIREC,27,24,14,13,13,17,25,24,24,19,26,30,10,9,6,7,3,3,14,5,347,999,135,153
2000/1/2,朴子,WIND_SPEED,1.75,1.5,1.03,1.33,1.59,2,1.88,2.2,2.95,4.01,5.33,5.31,4.04,3.41,3.08,3.32,2.92,1.76,1.12,1.02,0.47,0,0.01,0.26
2000/1/3,朴子,AMB_TEMP,15.71,15.65,15.16,14.97,15.16,15.48,15.48,16.46,18.85,21.53,22.95,23.46,23.79,23.83,23.89,22.93,20.75,18.66,17.42,16.9,16.18,15.95,15.82,15.42
2000/1/3,朴子,CO,0.62,0.83,0.75,0.66,0.57,0.44,0.46,1.06,1.19,1.19,0.73,0.69,0.63,0.59,0.59,0.56,0.64,0.63,0.62,0.66,0.64,0.62,0.64,0.61
2000/1/3,朴子,NO,9.45,26.22,44.45,24.08#,17.76,2.67,2.36,28.66,66.02,23.1,3.19,1.77,2.12,0.72,0.76,2.69,1.26,0.08,0.07,0.09,0.29,0.27,0.25,0.22
2000/1/3,朴子,NO2,26.47,35.71,29.22,31#,32.33,30.3,28.77,36.28,45.79,43.85,19.79,17.68,18.68,14.62,13.66,21.33,26.8,19.37,18.51,17.75,19.8,18.97,18.77,16.63
2000/1/3,朴子,NOx,35.92,61.93,73.66,55.08#,50.09,32.97,31.13,64.93,111.82,66.95,22.97,19.45,20.8,15.34,14.42,24.02,28.06,19.45,18.58,17.84,20.09,19.23,19.03,16.85
2000/1/3,朴子,O3,10.1,2.6,2.2,2,2.1,5.8,8.9#,6.1,8.5,17.1,48.9,59.2,59.3,73.8,64.3,48.8,39.2,39.6,32.2,26.3,19.8,19.7,18,17.5
2000/1/3,朴子,PM10,123,145,146,148,132,121,110,102,104,134,151,152,133,142,133,126,2#,2x,3x,128,120,131,125,119
2000/1/3,朴子,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2000/1/3,朴子,SO2,3.6,2.1,1.7,1.7,2,2.5,2.5,2.9,4,4.5,4.6,4.5,5.1,5,3.4,2.9,2.2,1.6,0.7,0.6,0.5,0.4,0.4,0.3
2000/1/3,朴子,WIND_DIREC,143,140,126,55,115,120,123,137,33,305,242,279,303,308,319,332,359,24,356,5,25,16,356,32
2000/1/3,朴子,WIND_SPEED,0.41,0.46,0.38,0.21,0.56,1.11,0.91,0.14,0.06,0.27,1.87,1.83,1.91,2.19,2.01,2.11,2.1,1.91,1.32,1.02,0.94,0.75,0.48,0.79
2000/1/4,朴子,AMB_TEMP,15.25,15.2,15.44,15.46,15.42,15.48,15.67,16,16.92,18.44,20,21.99,23.75,24.03,23.96,22.63,20.57,18.61,17.3,16.6,16.29,15.99,15.67,15.63
2000/1/4,朴子,CO,0.57,0.51,0.46,0.44,0.43,0.45,0.5,0.65,0.65,.64#,0.64,0.64,0.58,.6#,0.53,0.56,0.67,0.66,0.5,0.49,0.54,0.51,0.51,0.57
2000/1/4,朴子,NO,0.09,1.8,0.01,.02#,0,0.03,0.3,1.86,3.48,6.62,8.77,5.06,1.34,2.11,2.24,1.95,1.63,0.21,0.02,0,0.03,0.01,0.08,0.02
2000/1/4,朴子,NO2,14.67,14.12,15.87,7.8#,9.1,9.57,14.99,22.17,24.1,26.51,28.47,25.63,17.41,21.67,23.29,26.53,32.71,26.28,16.94,15.49,18.17,15.67,21.98,20.36
