日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2001/1/1,新竹,CH4,2.3,2.4,2.2,2.3,2.3,2.2,2.1,2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.3,2.4,2.3,2.4,2.4,2.4,2.3,2.3,2.4
2001/1/1,新竹,CO,0.5,0.4,0.3,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.3,0.4,0.5,0.8,0.6,0.7,0.7,0.5,0.4
2001/1/1,新竹,NMHC,0.1,0.1,0,0.1,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0,0.3,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.1
2001/1/1,新竹,NO,9.4,3.4,0.4,#,0.1,0.5,0.5,1.6,3.6,3.4,2.7,2.5,1.9,2.4,1.9,2.7,3.2,6,14.1,15.1,23.3,19.3,19,26.6
2001/1/1,新竹,NO2,36.2,32.4,23.3,#,13.9,23.4,16.6,13.6,14.7,12.3,10.1,9.6,9.9,12,10.7,16.2,26.4,36.5,38.8,35.8,33.3,32.2,30,30.5
2001/1/1,新竹,NOx,45.7,35.9,23.7,#,13.9,23.9,17.1,15.2,18.3,15.7,12.8,12.1,11.8,14.3,12.6,18.9,29.6,42.6,52.9,50.8,56.6,51.5,48.9,57.1
2001/1/1,新竹,O3,10.5,12.3,20.5,27.3,25.7,15.7,#,25.9,26.2,30,34.9,36.5,38.9,39.7,36.4,31.6,20.9,8.6,3.5,3.3,3.1,2.6,2.4,0.3
2001/1/1,新竹,PM10,74,55,54,49,41,36,26,25,26,16,15,21,21,29,23,23,33,29,35,41,38,30,27,27
2001/1/1,新竹,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2001/1/1,新竹,SO2,6,8.5,6.2,4.5,3.6,3.1,2.5,2.6,2,0.4,0.3,0.1,0.1,1.1,2,2.7,4.5,6.1,6.3,6.3,1,0.7,1.4,3.6
2001/1/1,新竹,THC,2.4,2.5,2.3,2.4,2.4,2.3,2.2,2,2.3,2.2,2.2,2.3,2.2,2.5,2.4,2.5,2.7,2.6,2.7,2.7,2.7,2.6,2.5,2.5
2001/1/1,新竹,UVB,0,0,0,0,0,0,0,0.2,0.9,2.2,3.7,4.6,4.6,3.6,2.1,0.8,0.1,0,0,0,0,0,0,0
2001/1/1,新竹,WIND_DIREC,59,62,64,61,60,57,60,59,38,51,55,45,55,27,20,24,26,61,72,87,106,114,111,114
2001/1/1,新竹,WIND_SPEED,2.4,2.3,2.5,2.6,2.3,3.2,3,3.5,3.6,3.9,4.3,4,3.1,3,3.5,2.5,2.1,1.6,1.3,1.7,2,2.4,2,1.8
2001/1/2,新竹,CH4,2.4,2.8,3.5,3.7,3.1,3.3,3.7,3.4,3,2.4,2.2,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.2,2.4,2.6,3.1,3.9
2001/1/2,新竹,CO,0.3,0.4,0.6,0.5,0.3,0.5,1.2,2.6,2.2,0.7,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.5,0.9,1.1,0.9,1,2,2.2
2001/1/2,新竹,NMHC,0.1,0.2,0.6,0.6,0.5,0.7,1,1.4,0.9,0.4,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.3,0.5,0.8,0.6,0.5,1,1.4
2001/1/2,新竹,NO,17.4,16.8,28.8,#,21.7,29.3,80.5,137.6,89.3,18.3,6.1,3.3,2.1,1.6,1.2,1.1,1,0.6,1.5,10.7,17.6,38.2,90,84.9
2001/1/2,新竹,NO2,27.8,25.5,23.8,#,22.7,22.6,26.8,32.6,36.8,27,20.9,15.5,12.2,11.1,10.6,11.5,16.4,21.8,32.9,46.7,54.1,52.2,48.2,42.7
2001/1/2,新竹,NOx,45.1,42.3,52.7,#,44.4,51.9,107.3,170.2,126.1,45.3,27,18.8,14.3,12.7,11.9,12.6,17.3,22.3,34.4,57.4,71.7,90.4,138.2,127.5
2001/1/2,新竹,O3,0.2,0.3,0.5,0.3,0.2,0.9,#,3,4,12.3,25.6,37.6,43.5,47.6,49.3,50.2,44.2,37,22.9,9.2,2.5,1.3,2.1,1.8
2001/1/2,新竹,PM10,26,24,20,22,21,20,17,34,57,77,75,67,55,47,38,30,35,32,35,57,72,74,84,101
2001/1/2,新竹,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2001/1/2,新竹,SO2,3.4,1.8,0.5,0.1,0.1,1,2.4,4.1,5.1,5.4,6.5,5.8,4.1,3.5,3.2,3.3,2.7,1.8,2.6,5.6,11,19.5,6.6,5.5
2001/1/2,新竹,THC,2.6,3,4.1,4.2,3.5,4,4.7,4.8,3.9,2.7,2.5,2.3,2.2,2.2,2.2,2.2,2.4,2.4,2.7,3,3,3.1,4.2,5.3
2001/1/2,新竹,UVB,0,0,0,0,0,0,0,0.1,0.8,2,2.5,4.3,4.4,3.6,2.1,0.8,0.2,0,0,0,0,0,0,0
2001/1/2,新竹,WIND_DIREC,111,120,134,119,104,119,136,115,147,182,888,296,343,347,348,347,351,356,16,34,77,70,109,143
2001/1/2,新竹,WIND_SPEED,1.3,0.4,0.7,0.4,0.7,0.4,0.6,0.7,0.8,1.3,0.7,1,1.5,1.9,2.3,1.8,1.7,1.1,1.1,0.7,0.9,0.5,0.1,0.3
2001/1/3,新竹,CH4,3.6,3.5,3.6,3.4,2.9,3.7,3.5,2.9,2.7,2.5,2.5,2.4,2.3,2.4,2.2,2.3,2.4,2.3,2.3,2.3,2.3,2.3,2.2,2.2
2001/1/3,新竹,CO,1.7,1.3,1,0.6,0.5,0.7,0.9,1.8,1.9,1.6,1.3,0.5,0.5,0.5,0.5,0.5,0.7,0.8,0.9,0.8,0.8,0.6,0.4,0.3
2001/1/3,新竹,NMHC,0.8,1,0.5,0.6,0.2,0.7,0.7,1,0.7,0.7,0.7,0.3,0.1,0,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.2,0.1,0.1
2001/1/3,新竹,NO,107.5,81.7,55.3,#,27.5,50,60.2,89.9,103.3,80.9,40,4.8,1.9,1,1.4,2.1,2.4,2.3,4.1,6.1,22.9,10.1,1,0.5
