日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2003/1/1,南投,AMB_TEMP,11.84,11.42,11.07,11.08,10.76,10.67,10.47,11.7,14.82,16.96,18.79,20.14,21.29,21.89,21.84,21.25,20.23,19.13,18.28,17.35,15.87,15.19,14.56,14.11
2003/1/1,南投,CH4,2.93,2.71,2.63,2.95,2.68,2.84,2.68,2.73,2.67,2.61,2.56,2.53,2.47,2.47,2.48,2.5,2.45,3.22,3.13,3.06,5.36,2.94,2.77,2.77
2003/1/1,南投,CO,1,0.97,0.93,0.91,0.84,0.84,0.81,1,1.18,1.06,0.95,0.88,0.78,0.68,0.68,0.69,0.63,0.88,0.96,1.08,1.22,1.31,1.12,1.01
2003/1/1,南投,NMHC,0.63,0.33,0.35,0.33,0.32,0.29,0.31,0.4,0.66,0.42,0.37,0.33,0.28,0.26,0.28,0.26,0.25,0.49,0.4,0.81,0.57,0.48,0.39,0.35
2003/1/1,南投,NO,20.37,20.53,20.6,23.88#,18.14,17.06,18.92,30.62,25.65,22.14,10.7,6.19,1.78,0.33,0.67,0.21,0.02,0.55,2.52,10.22,17.22,24.14,19.64,11.22
2003/1/1,南投,NO2,19.73,16.37,14.18,10.45#,11.27,11.54,9.79,10.94,22.89,23.22,23.67,25.54,19.88,14.9,20.85,21.13,15.9,29.95,43.45,43.69,39.46,38.9,31.72,27.46
2003/1/1,南投,NOx,40.1,36.9,34.78,34.32#,29.41,28.6,28.72,41.55,48.53,45.35,34.37,31.73,21.65,15.22,21.53,21.35,15.92,30.5,45.97,53.9,56.68,63.05,51.36,38.68
2003/1/1,南投,O3,0.5,0.5,0.4,0.4,0.4,0.4,.5#,1.3,6.9,12.1,24.5,37.3,57.9,72.3,67.1,69.7,64.7,43.5,14.3,6.3,2.6,1.4,1.3,1.3
2003/1/1,南投,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2003/1/1,南投,PM10,85,77,67,56,56,56,56,48,48,51,59,66,90,99,94,90,99,95,111,111,132,163,170,154
2003/1/1,南投,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2003/1/1,南投,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2003/1/1,南投,SO2,0.9,0.6,0.4,0.5,0.3,0.8,0.9,1.4,1.3,2.2,2.2,2.4,2.6,3.7,4.8,5.2,4.5,3.6,4.4,4.2,2.6,2.5,1.5,1.8
2003/1/1,南投,THC,3.556,3.04,2.98,3.282,3.008,3.126,2.984,3.122,3.327,3.021,2.935,2.868,2.746,2.729,2.753,2.761,2.698,3.71,3.534,3.866,5.927,3.419,3.156,3.119
2003/1/1,南投,WIND_DIREC,888,59,45,888,156,210,165,213,888,356,30,26,341,219,229,256,231,221,333,329,223,165,210,176
