ค้ดม,ด๚ฏธ,ด๚ถต,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2003/1/1,จFณภ,AMB_TEMP,12.6,12.36,12.28,12.27,12.12,12.15,12.2,12.85,14.21,15.96,17.42,18.78,19.87,20.96,20.5,18.91,17.85,16.85,16.16,15.88,15.28,14.68,14.45,14.43
2003/1/1,จFณภ,CO,0.79,0.74,0.69,0.64,0.62,0.64,0.71,0.78,0.85,0.84,0.86,0.8,0.79,0.67,0.67,0.63,0.7,0.72,0.67,0.77,0.81,0.87,0.76,0.76
2003/1/1,จFณภ,NO,0.33,0.34,0.33,.7#,0.45,0.36,0.45,1.75,4.28,4.36,4.56,3.7,2.65,1.05,0.84,0.81,0.57,0.52,0.64,0.73,0.89,2.08,0.92,1.04
2003/1/1,จFณภ,NO2,16.81,17.43,12.73,9.7#,9.95,11.35,16.48,18.44,20.24,18.81,19.28,18.84,17.21,13.06,14.32,13.83,18.21,21.6,23.48,27.53,30.26,33.22,29.95,30.05
2003/1/1,จFณภ,NOx,17.14,17.77,13.06,10.4#,10.4,11.71,16.93,20.19,24.52,23.17,23.84,22.54,19.86,14.1,15.16,14.64,18.78,22.12,24.12,28.26,31.15,35.3,30.86,31.1
2003/1/1,จFณภ,O3,22,19.1,22.2,23.1,23.6,21.6,17.7#,16.5,16.7,21,25.4,30.3,33,42.7,42.2,33.6,25.4,18.1,14.1,10,5.9,2.1,2.3,0.7
2003/1/1,จFณภ,PM10,77,64,75,70,66,66,59,61,69,72,78,76,79,76,68,73,85,89,82,70,59,59,62,52
2003/1/1,จFณภ,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2003/1/1,จFณภ,SO2,5.3,5.3,4.4,4.2,3.8,3.4,3.9,2.9,4.1,4.1,4.4,4,2.9,2.5,3,2.6,2.7,3.2,2.7,2.3,1.9,1.8,1.6,0.9
2003/1/1,จFณภ,WIND_DIREC,30,28,31,28,30,27,27,27,29,16,11,21,16,7,5,7,11,23,27,18,12,13,7,12
2003/1/1,จFณภ,WIND_SPEED,5.53,5.3,5.14,4.71,4.35,3.12,3.12,3.18,3.91,4.32,4.6,4.68,4.31,3.29,4.73,5.23,3.64,5.07,5.26,2.69,2.32,2.29,1.65,0.6
