日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2003/1/1,新營,AMB_TEMP,12.48,12.17,11.95,11.68,11.5,11.37,11.29,12.3,14.48,16.22,18.39,19.51,20.76,22.08,21.46,21.36,20.05,18.93,18.32,17.2,16.5,15.92,15.83,15.34
2003/1/1,新營,CH4,3.39,3.41,3.53,3.67,3.5,3.66,3.81,3.78,3.96,3.67,3.62,3.57,3.47,3.36,3.32,3.24,3.22,3.44,3.54,3.46,3.49,3.54,3.56,3.48
2003/1/1,新營,CO,0.97,0.96,0.88,0.82,0.81,0.84,0.87,1,1.25,1.09,1.09,0.84,0.76,0.96,0.85,0.77,0.8,0.99,1,0.88,0.87,0.84,0.91,0.78
2003/1/1,新營,NMHC,0.37,0.33,0.28,0.28,0.31,0.31,0.37,0.42,0.58,0.54,0.49,0.33,0.28,0.32,0.43,0.39,0.37,0.5,0.43,0.4,0.4,0.38,0.42,0.34
2003/1/1,新營,NO,0.62,0.53,0.19,.16#,0.08,0.98,3.01,7.36,18.39,18.1,8,2.06,2.02,2.48,0.34,0.49,0.32,0.28,0.13,0.17,0.41,0.4,1.33,0.68
2003/1/1,新營,NO2,23.2,23.35,20.73,18.86#,17.57,23,25.22,23.9,28.77,31.83,27.88,16.75,16.18,20.98,23.36,18.44,19.97,33.44,35.72,28.77,28.71,30.51,31.67,27.95
2003/1/1,新營,NOx,23.82,23.88,20.92,19.02#,17.64,23.98,28.23,31.25,47.16,49.93,35.88,18.81,18.19,23.46,23.7,18.93,20.29,33.72,35.85,28.94,29.11,30.92,33.01,28.63
2003/1/1,新營,O3,9,8.4,10.9,12,11.6,5.6,3.9#,6.2,8.3,13.1,27.4,42,46.1,61.9,96.2,75.2,61.5,42.1,35,27.6,19,11.2,7.1,8.2
2003/1/1,新營,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2003/1/1,新營,PM10,109,121,120,95,82,91,91,83,103,90,104,118,117,113,96,105,108,94,105,115,119,139,132,122
2003/1/1,新營,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2003/1/1,新營,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2003/1/1,新營,SO2,4.1,3.2,2.3,2.7,3.1,3.7,2.3,2.8,3.7,8.2,9.1,4.2,5.8,12.6,18.8,9.5,3.6,5.2,7,4.1,2.7,1.8,1.8,1.9
2003/1/1,新營,THC,3.754,3.738,3.817,3.942,3.808,3.964,4.174,4.199,4.535,4.216,4.111,3.904,3.755,3.682,3.75,3.626,3.594,3.932,3.968,3.858,3.894,3.918,3.985,3.825
2003/1/1,新營,WIND_DIREC,15,358,2,346,8,356,328,888,888,305,218,198,232,276,264,301,302,318,355,345,326,336,318,29
2003/1/1,新營,WIND_SPEED,1.9,1.33,1.27,1.02,1.03,0.65,0.58,0,0.23,1.04,0.9,1.18,1.44,1.62,1.87,1.65,1.46,0.4,0.78,1,0.87,0.31,0.12,0.04
2003/1/2,新營,AMB_TEMP,14.59,14.45,14.39,14.41,14.12,14.08,14.01,14.35,17.41,19.42,21.68,23.29,23.13,22.88,22.93,22.74,19.36,17.56,17.24,17.01,16.65,16.23,15.5,15.38
2003/1/2,新營,CH4,3.96,3.85,4.02,3.75,3.52,3.77,4.86,3.99,3.64,3.98,3.51,3.28,3.39,3.29,3.24,3.24,3.16,3.36,3.36,3.42,3.34,3.52,3.55,3.44
