日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2004/1/1,三義,AMB_TEMP,11.89,11.74,11.41,11.34,11.12,10.91,11.04,11.5,12.37,14.02,16.03,17.28,18.36,18.37,18.14,17.6,16.98,16.96,16.48,15.18,15.64,14.5,13.95,14.3
2004/1/1,三義,CH4,2.21,2.22,2.21,2.06,1.71,1.74,1.91,2.23,2.23,2.25,2.22,2.21,2.2,2.22,2.22,2.21,2.22,2.21,2.16,2.14,2.2,2.28,2.25,2.24
2004/1/1,三義,CO,0.88,0.84,0.83,0.77,0.74,0.73,0.71,0.71,0.7,0.68,0.68,0.68,0.67,0.68,0.63,0.57,0.64,0.85,0.94,0.55,0.55,0.77,0.77,0.71
2004/1/1,三義,NMHC,0.27,0.25,0.25,0.21,0.25,0.22,0.22,0.21,0.24,0.24,0.24,0.26,0.25,0.28,0.28,0.26,0.29,0.34,0.43,0.28,0.29,0.35,0.36,0.32
2004/1/1,三義,NO,0.01,.01x,0.01,.07#,0.01,0.01,0.02,0.09,0.58,1.83,3.59,3.31,2.26,1.84,1.35,0.67,0.35,1.69,3.78,0.68,0.68,14.59,11.7,4.83
2004/1/1,三義,NO2,12.94,11.32x,16.44,14.36#,13.49,12.96,10.58,10.87,14.35,15.63,17.81,17.79,17.47,20.05,19.69,15.57,20.06,34.41,35.77,17.33,29.36,43.54,39.58,34.53
2004/1/1,三義,NOx,12.95,11.32x,16.45,14.43#,13.5,12.97,10.6,10.95,14.92,17.46,21.4,21.1,19.72,21.89,21.04,16.24,20.41,36.1,39.56,18.01,30.04,58.13,51.27,39.36
2004/1/1,三義,O3,47.8,46.4,35.3,36.1,34.2,31.4,33.4#,34.2,33.4,34.1,35.3,39.6,46.9,48.3,46.2,47.8,39.9,23.1,16.3,28.7,17.6,2.7,2.9,5.1
2004/1/1,三義,PH_RAIN,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*
2004/1/1,三義,PM10,168,153,124,116,106,114,95,111,96,108,97,92,94,87,98,96,97,106,97,99,71,62,67,81
2004/1/1,三義,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2004/1/1,三義,RAIN_COND,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*
2004/1/1,三義,SO2,5.3,4.8,4,3.9,3.3,3,3.1,3.2,4.7,6.4,5.6,4.5,4.2,4.8,5.2,4.5,4.1,3.2,1.8,0.9,2.4,4.4,4,4.1
2004/1/1,三義,THC,2.481,2.468,2.459,2.27,1.956,1.969,2.13,2.444,2.466,2.493,2.467,2.467,2.451,2.497,2.498,2.473,2.513,2.551,2.588,2.414,2.483,2.635,2.613,2.557
2004/1/1,三義,UVB,0#,0#,0#,0#,0#,0#,0#,0#,0#,0#,0#,0#,0#,0#,0#,0#,0#,0#,0#,0#,0#,0#,0#,0#
2004/1/1,三義,WIND_DIREC,21,21,22,20,24,18,21,17,21,22,11,15,11,10,13,14,15,38,308,359,19,19,17,16
2004/1/1,三義,WIND_SPEED,3.61,3.5,3.4,3.45,2.86,3.47,3.37,3.36,3.66,3.13,3.37,3.35,3.62,3.51,3.19,2.91,1.85,1.16,0.56,0.58,2.65,2.78,2.74,2.83
2004/1/2,三義,AMB_TEMP,14.87,14.22,13.63,13.49,13.24,12.87,12.25,12.85,,17.83#,18.59,19.96,21.34,22.47,21.76,18.34,16.43,14.78,13.69,12.69,11.98,11.31,11.1,10.73
2004/1/2,三義,CH4,2.23,2.26,2.27,2.31,2.25,2.24,2.25,2.25,,-.01#,.03*,.03*,.02*,.01*,.02*,.03*,.05*,.05*,.05*,0*,0*,0*,.02*,.01*
2004/1/2,三義,CO,0.69,0.78,0.83,0.91,0.86,0.81,0.81,0.71,,.67#,0.57,0.6,0.55,0.53,0.59,0.66,0.72,0.8,0.71,0.63,0.59,0.58,0.59,0.64
2004/1/2,三義,NMHC,0.32,0.35,0.42,0.49,0.52,0.51,0.47,0.35,,.03#,.06*,.06*,.06*,.06*,.06*,.07*,.06*,.06*,.07*,.07*,.07*,.07*,.07*,.07*
2004/1/2,三義,NO,4.96,9.78,10.9,14.52#,12.05,9.64,19.16,11.46,,15.14#,7.73,6.14,4.48,2.73,2.39,2.13,1.76,0.93,0.31,0.33,0.19,0.24,0.21,0.15
2004/1/2,三義,NO2,32.98,37.4,39.39,41.2#,40.74,38.69,35.32,27.99,,20.36#,20.7,23.3,20.63,17.42,21.38,20.53,27.07,33.88,24.12,18,15.14,13.72,11.73,13.11
2004/1/2,三義,NOx,37.94,47.19,50.3,55.71#,52.79,48.33,54.49,39.45,,35.5#,28.43,29.45,25.11,20.15,23.77,22.66,28.82,34.8,24.44,18.34,15.33,13.96,11.94,13.27
2004/1/2,三義,O3,7.3,2.6,2,1.9,1.5,1.4,2.7#,8.2,,44.2#,30.7,42.5,49.7,61,67.1,56.6,48.8,36.9,39.5,42.5,41.8,39.9,40.8,35.3
2004/1/2,三義,PH_RAIN,0*,0*,0*,0*,0*,0*,0*,0*,,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*
2004/1/2,三義,PM10,93,92,82,92,92,90,80,63,,0#,35#,36,69,67,74,78,105,127,143,137,117,97,82,83
2004/1/2,三義,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2004/1/2,三義,RAIN_COND,0*,0*,0*,0*,0*,0*,0*,0*,,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*
2004/1/2,三義,SO2,4.5,3.9,4.4,4.8,4.6,5,3,3.3,,4.8#,4.8,5.4,4.9,4.6,5.4,5.4,6,6.3,4.5,3.8,3.2,2.8,3.6,3.7
2004/1/2,三義,THC,2.543,2.61,2.69,2.804,2.773,2.745,2.719,2.604,,.027#,.094*,.091*,.084*,.075*,.085*,.096*,.109*,.117*,.117*,.075*,.067*,.069*,.085*,.079*
2004/1/2,三義,UVB,0#,0#,0#,0#,0#,0#,0#,0#,,0#,0#,0#,0#,0#,0#,0#,0#,0#,0#,0#,0#,0#,0#,0#
2004/1/2,三義,WIND_DIREC,15,16,18,18,22,18,16,19,,15#,13,13,15,14,13,13,15,18,22,19,21,21,19,17
2004/1/2,三義,WIND_SPEED,3.2,3.63,3.4,3.69,3.94,3.42,3.13,4.1,,4.48#,5.29,5.28,4.06,4.6,5.39,7.01,6.67,5.66,4.51,4.66,3.96,3.68,3.53,3.71
2004/1/3,三義,AMB_TEMP,10.54,10.46,10.75,11.19,11.58,11.95,12.23,12.64,14.48#,15.68,19.01,21.06,22.02,21.29,20.06,19.94,18.04,16.85,16.2,15.59,14.82,14.3,13.32,13.18
2004/1/3,三義,CH4,.02*,.04*,.04*,.04*,.03*,.02*,.01*,.02*,0#,2.19,2.15,2.18,2.13,2.15,2.15,2.2,2.19,2.24,2.25,2.24,2.25,2.28,2.23,2.18
2004/1/3,三義,CO,0.66,0.66,0.66,0.65,0.65,0.61,0.58,0.57,0#,0.62,0.64,0.64,0.67,0.76,0.79,0.83,0.86,0.87,0.75,0.87,0.93,1.1,0.77,0.66
2004/1/3,三義,NMHC,.07*,.07*,.07*,.06*,.07*,.07*,.07*,.07*,0#,0.21,0.24,0.22,0.26,0.32,0.3,0.32,0.36,0.39,0.32,0.45,0.47,0.49,0.36,0.31
2004/1/3,三義,NO,0.29,0.57,1.25,.02#,0.01,0.02,0.18,0.08,0#,5.7,9.06,5.81,3.45,1.99,1.93,2.14,0.54,0.16,0.05,3.93,9.15,37.97,9.42,14.86
2004/1/3,三義,NO2,15.05,18.67,24.56,14.79#,12.7,10.01,10.37,9.95,0#,18.84,21.51,18.36,18.39,21.22,21.78,24.23,24.62,32.14,28.27,43.52,48.41,44.53,31.32,26.51
2004/1/3,三義,NOx,15.33,19.23,25.81,14.81#,12.72,10.03,10.55,10.02,0#,24.53,30.57,24.18,21.84,23.2,23.71,26.38,25.17,32.3,28.31,47.45,57.56,82.5,40.74,41.37
2004/1/3,三義,O3,29.9,24.4,18.7,25.6,28.6,32.3,32.3#,31.7,0#,25.8,25.8,32.6,44.4,59.3,55.7,49.5,44.1,28.5,25.4,8.5,2.8,2.6,7.4,12
2004/1/3,三義,PH_RAIN,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*
2004/1/3,三義,PM10,83,85,96,97,88,73,76,76,0#,64#,65,83,71,79,80,111,117,160,165,188,158,153,137,118
2004/1/3,三義,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2004/1/3,三義,RAIN_COND,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*,0*
