日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2005/1/1,竹東,AMB_TEMP,7.12,6.81,6.73,6.54,6.48,6.54,6.67,7.07,7.77,8.74,9.05,9.37,9.37,9.22,9.72,9.45,9.14,8.69,8.74,8.9,8.87,8.08,7.87,8.3
2005/1/1,竹東,CO,0.36,0.34,0.33,0.31,0.32,0.32,0.35,0.39,0.4,0.41,0.38,0.39,0.37,0.38,0.4,0.45,0.43,0.44,0.43,0.38,0.36,0.64,0.71,0.5
2005/1/1,竹東,NO,0.73,0.93,0.72,0.47,1.07,0.87,1.1,1.93,3.58,4.48,4.32,4.65,3.98,3.68,3.8,3.83,2.98,2.7,2.45,1.95,1.6,2.12,5.75,4.88
2005/1/1,竹東,NO2,6.54,6.02,5.83,5.16,4.83,4.87,6.91,9.31,10.29,10.53,9.45,10.37,9.64,9.96,10.25,11.67,11.89,11.92,9.82,8.38,7.76,18.07,25.61,26.37
2005/1/1,竹東,NOx,7.27,6.96,6.55,5.62,5.91,5.74,8.02,11.24,13.87,15.01,13.78,15.02,13.61,13.64,14.05,15.51,14.87,14.62,12.27,10.33,9.36,20.19,31.36,31.25
2005/1/1,竹東,O3,30.7,29.9,30.7,31.1,34.3,34.3,31.9,28.4,27.8,29.8,31.4,32.7,32.6,34.4,34.1,31.8,28.6,25.7,27.1,27.8,29,14.9,5.9,3.5
2005/1/1,竹東,PM10,48,42,42,45,40,40,37,38,38,35,45,45,47,35,35,41,45,45,41,49,49,47,39,36
2005/1/1,竹東,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2005/1/1,竹東,RH,60.35,62.36,62.34,60.67,60.1,61.32,62.84,62.79,59.77,55.39,53.32,50.56,51.25,51.23,49.97,52.15,55.19,59.45,59.84,57.45,56.84,62.02,63.1,61.72
2005/1/1,竹東,SO2,4.6,4.1,4.1,3.6,3.7,3.7,4,4.6,5,4.7,4,3.9,4.1,4.5,4.1,4.7,4.2,4.1,4,3.7,4,3.1,2.8,2.6
